created_at,id_str,full_text,lang,location
2023-11-01,1719645824047788466,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719637674661912853,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719614232235475176,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720045422960595334,jakarta partai golongan karya golkar mengusulkan sejumlah nama untuk masuk dalam jajaran tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720039369808154652,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720016265874710762,partai nya golongan karya masa cari pemimpin yang tanpa karya,in,
2023-11-02,1719989946898112804,jakarta partai golongan karya golkar mengusulkan sejumlah nama untuk masuk dalam jajaran tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-03,1720401784680890878,pimpinan bawaslu kota jakarta selatan beserta staf melakukan silaturrahmi dan sosialisasi di kantor dpc partai golongan karya golkar jakarta selatan menjelang proses tahapan kampanye pemilu tahun 2024 nanti agar partai partai politik untuk mematuhi regulasi tahapan kampanye,in,Jl Wr Buncit Raya 11 Jak-Sel
2023-11-03,1720381338216485223,bisa memilih yang terbaik amin yra cc partai oalisi ini didirikan oleh sepuluh partai politik antara lain partai demokrasi indonesia perjuangan pdi p partai golongan karya golkar partai nasional demokrat nasdem,in,"DKI Jakarta, Indonesia"
2023-11-03,1720348092560724015,partai golongan karya golkar mengusulkan sejumlah nama untuk masuk dalam jajaran tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720338799799185778,partai golongan karya golkar mengusulkan sejumlah nama untuk masuk dalam jajaran tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720337753009963448,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720334758482464844,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan partai demokrat partai bulan bintang pbb bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720330266340892837,jakarta partai golongan karya golkar mengusulkan sejumlah nama untuk masuk dalam jajaran tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720329194574639574,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720287454920626289,mirip zaman orba dulu klu ada kumpul2 di kantor partai selain golongan karya juga ditanya seperti itu,in,Semarang
2023-11-04,1720780257048011032,temanpemilih berikut kami sampaikan pengumuman daftar calon tetap dct anggota dewan perwakilan rakyat daerah kabupaten belitung timur pada pemilihan umum tahun 2024 dari partai golongan karya golkar kpumelayani pemiluserentak2024,in,
2023-11-05,1721280505990242526,sang ketum ada dalam koalisi mrk dan tinggal perintah ga sampai menghabiskan sebatang rokok pasti kelaarr jangankan cuma kartu dan tiket cawapres saat ini kalau sang sutradara bersabda ganti segera partai golongan karya jadi partai golongan korea juga bisaa,in,
2023-11-06,1721552957391745188,yah dwipartai akhirnya terwujud era soeharto si wkwk walaupun kalah dengan golongan karya yah hal ini menunjukkan stabilitas yang baik dengan sedikit partai soekarno memang tepat tapi sjahrir juga tidak salah karena banyak partai diharapkan dapat merepresentasi banyak golongan,in,
2023-11-06,1721541736567312887,partai golongan karya golkar menggelar puncak perayaan hut ke 59 tahun di halaman kantor dpp partai golkar senin 6 11 2023 malam nbsp,in,Jakarta
2023-11-06,1721457291147505993,sedangkan pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,"DKI Jakarta, Indonesia"
2023-11-06,1721441301873533213,sedangkan pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721423070110556325,sedangkan pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721409470994280730,sedangkan pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721372009173807154,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721370958861410372,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721369736376877106,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721327810265128999,temanpemilih kawankpumakassar daftar calon tetap dct anggota dprd kota makassar pada pemilu serentak tahun 2024 partai golongan karya,in,Kota Makassar
2023-11-07,1721989146640896349,koreksi dikit di jaman itu golkar bukan partai tetapi disebut sbg golongan dimana seluruh pns karyawan bumn aparatur pemerintahan perangkat desa dan petani buruh diwajibkan menjadi anggota golkar,in,"Yogyakarta, Indonesia"
2023-11-07,1721834247852642459,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721778635827482893,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,"DKI Jakarta, Indonesia"
2023-11-07,1721778037677535606,presiden joko widodo menilai bahwa partai golongan karya golkar telah berhasil melakukan kaderisasi dan regenerasi karena banyaknya generasi muda yang menjadi anggota di partai tersebut airlanggacenter,in,
2023-11-07,1721776560058093936,presiden joko widodo menilai bahwa partai golongan karya golkar telah berhasil melakukan kaderisasi dan regenerasi karena banyaknya generasi muda yang menjadi anggota di partai tersebut airlanggacenter hamas freepalestinenow innalillahi israelterrorism,in,
2023-11-07,1721766822608085162,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721759877205479675,sementara itu pasangan prabowo gibran diusung oleh partai gerakan indonesia raya gerindra partai golongan karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721695103809658885,presiden ri jokowi menilai partai golongan karya golkar telah berhasil melakukan kaderisasi dan regenerasi karena banyaknya generasi muda yang menjadi anggota di partai tersebut,in,Jakarta
2023-11-08,1722196413109661765,ketua umum partai golongan karya golkar airlangga hartarto menilai putusan mahkamah kehormatan mahkamah konstitusi mkmk tentang dugaan pelanggaran,in,
